# TaskBarHeroSpeed traded market top lock list
# generated_at_utc=2026-06-30T09:43:12+00:00
# source_prices=https://raw.githubusercontent.com/WarmBed/TBH-DPS-dashboard/data/prices.json
# prices_cached_at=1782808353238
# limit=100
# item_ids=195
item_id	price_cents	rank	last_sold_at	market_hash	name_zh_hans
160007	5601	1	1782808353	Kingdom 100th Anniversary Coin	王国百年纪念币
606171	1481	2	1782808353	Ethereal Amulet (Beyond) A	以太护符 (超凡) A
606172	1481	2	1782808353	Ethereal Amulet (Beyond) A	以太护符 (超凡) A
636171	1401	3	1782808353	Ethereal Bracer (Beyond) A	以太腕甲 (超凡) A
636172	1401	3	1782808353	Ethereal Bracer (Beyond) A	以太腕甲 (超凡) A
616171	1153	4	1782808353	Ethereal Earring (Beyond) A	虚灵耳环 (超凡) A
616172	1153	4	1782808353	Ethereal Earring (Beyond) A	虚灵耳环 (超凡) A
147002	1076	5	1782808353	Sunstone	太阳石
606111	756	6	1782808353	Emerald Amulet (Beyond) A	翡翠护符 (超凡) A
606112	756	6	1782808353	Emerald Amulet (Beyond) A	翡翠护符 (超凡) A
626111	756	7	1782808353	Emerald Ring (Beyond) A	翡翠戒指 (超凡) A
626112	756	7	1782808353	Emerald Ring (Beyond) A	翡翠戒指 (超凡) A
606141	741	8	1782808353	Eclipse Amulet (Beyond) A	日食护身符 (超凡) A
606142	741	8	1782808353	Eclipse Amulet (Beyond) A	日食护身符 (超凡) A
456091	712	9	1782808353	Elite Hatchet (Beyond) A	精英手斧 (超凡) A
456092	712	9	1782808353	Elite Hatchet (Beyond) A	精英手斧 (超凡) A
446171	626	10	1782808353	Dimensional Bolt (Beyond) A	次元弩箭 (超凡) A
446172	626	10	1782808353	Dimensional Bolt (Beyond) A	次元弩箭 (超凡) A
456071	600	11	1782808353	Battle Hatchet (Beyond) A	战斗手斧 (超凡) A
456072	600	11	1782808353	Battle Hatchet (Beyond) A	战斗手斧 (超凡) A
636071	584	12	1782808353	Obsidian Bracer (Beyond) A	黑曜石腕甲 (超凡) A
