# TaskBarHeroSpeed traded market price list
# generated_at_utc=2026-06-30T09:43:12+00:00
# source_prices=https://raw.githubusercontent.com/WarmBed/TBH-DPS-dashboard/data/prices.json
# prices_cached_at=1782808353238
# item_ids=1315
item_id	price_cents	last_sold_at	market_hash	name_zh_hans
160007	5601	1782808353	Kingdom 100th Anniversary Coin	王国百年纪念币
606171	1481	1782808353	Ethereal Amulet (Beyond) A	以太护符 (超凡) A
606172	1481	1782808353	Ethereal Amulet (Beyond) A	以太护符 (超凡) A
636171	1401	1782808353	Ethereal Bracer (Beyond) A	以太腕甲 (超凡) A
636172	1401	1782808353	Ethereal Bracer (Beyond) A	以太腕甲 (超凡) A
616171	1153	1782808353	Ethereal Earring (Beyond) A	虚灵耳环 (超凡) A
616172	1153	1782808353	Ethereal Earring (Beyond) A	虚灵耳环 (超凡) A
147002	1076	1782808353	Sunstone	太阳石
606111	756	1782808353	Emerald Amulet (Beyond) A	翡翠护符 (超凡) A
606112	756	1782808353	Emerald Amulet (Beyond) A	翡翠护符 (超凡) A
626111	756	1782808353	Emerald Ring (Beyond) A	翡翠戒指 (超凡) A
626112	756	1782808353	Emerald Ring (Beyond) A	翡翠戒指 (超凡) A
606141	741	1782808353	Eclipse Amulet (Beyond) A	日食护身符 (超凡) A
606142	741	1782808353	Eclipse Amulet (Beyond) A	日食护身符 (超凡) A
456091	712	1782808353	Elite Hatchet (Beyond) A	精英手斧 (超凡) A
456092	712	1782808353	Elite Hatchet (Beyond) A	精英手斧 (超凡) A
446171	626	1782808353	Dimensional Bolt (Beyond) A	次元弩箭 (超凡) A
446172	626	1782808353	Dimensional Bolt (Beyond) A	次元弩箭 (超凡) A
456071	600	1782808353	Battle Hatchet (Beyond) A	战斗手斧 (超凡) A
456072	600	1782808353	Battle Hatchet (Beyond) A	战斗手斧 (超凡) A
636071	584	1782808353	Obsidian Bracer (Beyond) A	黑曜石腕甲 (超凡) A
636072	584	1782808353	Obsidian Bracer (Beyond) A	黑曜石腕甲 (超凡) A
606091	569	1782808353	Ruby Pendant (Beyond) A	红宝石吊坠 (超凡) A
606092	569	1782808353	Ruby Pendant (Beyond) A	红宝石吊坠 (超凡) A
616141	568	1782808353	Celestial Earring (Beyond) A	天界耳环 (超凡) A
616142	568	1782808353	Celestial Earring (Beyond) A	天界耳环 (超凡) A
446091	559	1782808353	Rune Bolt (Beyond) A	符文弩箭 (超凡) A
446092	559	1782808353	Rune Bolt (Beyond) A	符文弩箭 (超凡) A
446111	557	1782808353	Fate Bolt (Beyond) A	命运弩箭 (超凡) A
446112	557	1782808353	Fate Bolt (Beyond) A	命运弩箭 (超凡) A
616111	541	1782808353	Sapphire Earring (Beyond) A	蓝宝石耳环 (超凡) A
616112	541	1782808353	Sapphire Earring (Beyond) A	蓝宝石耳环 (超凡) A
626141	517	1782808353	Eclipse Ring (Beyond) A	蚀月戒指 (超凡) A
626142	517	1782808353	Eclipse Ring (Beyond) A	蚀月戒指 (超凡) A
456171	458	1782808353	Dimensional Hatchet (Beyond) A	次元手斧 (超凡) A
456172	458	1782808353	Dimensional Hatchet (Beyond) A	次元手斧 (超凡) A
416171	445	1782808353	Dimensional Arrow (Beyond) A	次元箭 (超凡) A
416172	445	1782808353	Dimensional Arrow (Beyond) A	次元箭 (超凡) A
606071	440	1782808353	Moonstone Pendant (Beyond) A	月光石吊坠 (超凡) A
606072	440	1782808353	Moonstone Pendant (Beyond) A	月光石吊坠 (超凡) A
425041	420	1782808353	Frozen Orb (Arcana) A	冰冻法球 (至宝) A
425042	420	1782808353	Frozen Orb (Arcana) A	冰冻法球 (至宝) A
455051	401	1782808353	War Hatchet (Arcana) A	战用手斧 (至宝) A
455052	401	1782808353	War Hatchet (Arcana) A	战用手斧 (至宝) A
626171	396	1782808353	Ethereal Ring (Beyond) A	以太戒指 (超凡) A
626172	396	1782808353	Ethereal Ring (Beyond) A	以太戒指 (超凡) A
346071	365	1782808353	Iron Crossbow (Beyond) A	铁制弩 (超凡) A
346072	365	1782808353	Iron Crossbow (Beyond) A	铁制弩 (超凡) A
616071	362	1782808353	Emerald Earring (Beyond) A	祖母绿耳环 (超凡) A
616072	362	1782808353	Emerald Earring (Beyond) A	祖母绿耳环 (超凡) A
445071	350	1782808353	Iron Bolt (Arcana) A	铁制弩箭 (至宝) A
445072	350	1782808353	Iron Bolt (Arcana) A	铁制弩箭 (至宝) A
316171	321	1782808353	Shadow Bow (Beyond) A	暗影之弓 (超凡) A
316172	321	1782808353	Shadow Bow (Beyond) A	暗影之弓 (超凡) A
445041	319	1782808353	Barbed Bolt (Arcana) A	倒刺弩箭 (至宝) A
445042	319	1782808353	Barbed Bolt (Arcana) A	倒刺弩箭 (至宝) A
416071	319	1782808353	Gale Arrow (Beyond) A	疾风箭 (超凡) A
416072	319	1782808353	Gale Arrow (Beyond) A	疾风箭 (超凡) A
636091	304	1782808353	Crimson Bracer (Beyond) A	绯红腕甲 (超凡) A
636092	304	1782808353	Crimson Bracer (Beyond) A	绯红腕甲 (超凡) A
416111	300	1782808353	Fate Arrow (Beyond) A	命运之箭 (超凡) A
416112	300	1782808353	Fate Arrow (Beyond) A	命运之箭 (超凡) A
626071	282	1782808353	Amber Ring (Beyond) A	琥珀戒指 (超凡) A
626072	282	1782808353	Amber Ring (Beyond) A	琥珀戒指 (超凡) A
456111	247	1782808353	Mystic Hatchet (Beyond) A	神秘手斧 (超凡) A
456112	247	1782808353	Mystic Hatchet (Beyond) A	神秘手斧 (超凡) A
605171	231	1782808353	Ethereal Amulet (Arcana) A	以太护符 (至宝) A
605172	231	1782808353	Ethereal Amulet (Arcana) A	以太护符 (至宝) A
626091	229	1782808353	Amethyst Ring (Beyond) A	紫水晶戒指 (超凡) A
626092	229	1782808353	Amethyst Ring (Beyond) A	紫水晶戒指 (超凡) A
446071	229	1782808353	Iron Bolt (Beyond) A	铁制弩箭 (超凡) A
446072	229	1782808353	Iron Bolt (Beyond) A	铁制弩箭 (超凡) A
416141	223	1782808353	Haste Arrow (Beyond) A	迅捷箭 (超凡) A
416142	223	1782808353	Haste Arrow (Beyond) A	迅捷箭 (超凡) A
616091	222	1782808353	Tiger Eye Earring (Beyond) A	虎眼耳环 (超凡) A
616092	222	1782808353	Tiger Eye Earring (Beyond) A	虎眼耳环 (超凡) A
316111	216	1782808353	Mystic Bow (Beyond) A	神秘之弓 (超凡) A
316112	216	1782808353	Mystic Bow (Beyond) A	神秘之弓 (超凡) A
535041	207	1782808353	Knight Boots (Arcana) A	骑士靴 (至宝) A
535042	207	1782808353	Knight Boots (Arcana) A	骑士靴 (至宝) A
345051	204	1782808353	Exceptional Crossbow (Arcana) A	卓越弩 (至宝) A
345052	204	1782808353	Exceptional Crossbow (Arcana) A	卓越弩 (至宝) A
326171	195	1782808353	Tempest Staff (Beyond) A	暴风之杖 (超凡) A
326172	195	1782808353	Tempest Staff (Beyond) A	暴风之杖 (超凡) A
346111	192	1782808353	Mystic Crossbow (Beyond) A	神秘弩 (超凡) A
346112	192	1782808353	Mystic Crossbow (Beyond) A	神秘弩 (超凡) A
160006	191	1782808353	Empire 50th Anniversary Coin	帝国建国50周年纪念币
635051	183	1782808353	Platinum Bracer (Arcana) A	铂金护腕 (至宝) A
635052	183	1782808353	Platinum Bracer (Arcana) A	铂金护腕 (至宝) A
455041	178	1782808353	Steel Hatchet (Arcana) A	钢铁手斧 (至宝) A
455042	178	1782808353	Steel Hatchet (Arcana) A	钢铁手斧 (至宝) A
454021	174	1782808353	Leather Hatchet (Immortal) A	皮革手斧 (不朽) A
454022	174	1782808353	Leather Hatchet (Immortal) A	皮革手斧 (不朽) A
605051	170	1782808353	Platinum Amulet (Arcana) A	白金护符 (至宝) A
605052	170	1782808353	Platinum Amulet (Arcana) A	白金护符 (至宝) A
426071	163	1782808353	Rune Orb (Beyond) A	符文宝珠 (超凡) A
426072	163	1782808353	Rune Orb (Beyond) A	符文宝珠 (超凡) A
446141	161	1782808353	Haste Bolt (Beyond) A	迅捷弩箭 (超凡) A
446142	161	1782808353	Haste Bolt (Beyond) A	迅捷弩箭 (超凡) A
605041	158	1782808353	Gold Amulet (Arcana) A	黄金护身符 (至宝) A
605042	158	1782808353	Gold Amulet (Arcana) A	黄金护身符 (至宝) A
456141	158	1782808353	Limitless Hatchet (Beyond) A	无限手斧 (超凡) A
456142	158	1782808353	Limitless Hatchet (Beyond) A	无限手斧 (超凡) A
605111	149	1782808353	Emerald Amulet (Arcana) A	翡翠护符 (至宝) A
605112	149	1782808353	Emerald Amulet (Arcana) A	翡翠护符 (至宝) A
615111	135	1782808353	Sapphire Earring (Arcana) A	蓝宝石耳环 (至宝) A
615112	135	1782808353	Sapphire Earring (Arcana) A	蓝宝石耳环 (至宝) A
443021	133	1782808353	Fear Bolt (Legendary) A	恐惧弩矢 (传奇) A
443022	133	1782808353	Fear Bolt (Legendary) A	恐惧弩矢 (传奇) A
444031	130	1782808353	Hunter's Bolt (Immortal) A	猎人弩箭 (不朽) A
444032	130	1782808353	Hunter's Bolt (Immortal) A	猎人弩箭 (不朽) A
436171	129	1782808353	Dimensional Tome (Beyond) A	次元魔法书 (超凡) A
436172	129	1782808353	Dimensional Tome (Beyond) A	次元魔法书 (超凡) A
346171	125	1782808353	Dimensional Crossbow (Beyond) A	次元弩 (超凡) A
346172	125	1782808353	Dimensional Crossbow (Beyond) A	次元弩 (超凡) A
444051	123	1782808353	Beast Bolt (Immortal) A	野兽弩矢 (不朽) A
444052	123	1782808353	Beast Bolt (Immortal) A	野兽弩矢 (不朽) A
316071	122	1782808353	Dusk Bow (Beyond) A	黄昏之弓 (超凡) A
316072	122	1782808353	Dusk Bow (Beyond) A	黄昏之弓 (超凡) A
625041	121	1782808353	Gold Ring (Arcana) A	金戒指 (至宝) A
625042	121	1782808353	Gold Ring (Arcana) A	金戒指 (至宝) A
426171	117	1782808353	Dimensional Orb (Beyond) A	次元宝珠 (超凡) A
426172	117	1782808353	Dimensional Orb (Beyond) A	次元宝珠 (超凡) A
605071	116	1782808353	Moonstone Pendant (Arcana) A	月光石吊坠 (至宝) A
605072	116	1782808353	Moonstone Pendant (Arcana) A	月光石吊坠 (至宝) A
356171	112	1782808353	Dimensional Axe (Beyond) A	次元斧 (超凡) A
356172	112	1782808353	Dimensional Axe (Beyond) A	次元斧 (超凡) A
426091	107	1782808353	Arcane Orb (Beyond) A	奥术法球 (超凡) A
426092	107	1782808353	Arcane Orb (Beyond) A	奥术法球 (超凡) A
346091	105	1782808353	Elite Crossbow (Beyond) A	精英弩 (超凡) A
346092	105	1782808353	Elite Crossbow (Beyond) A	精英弩 (超凡) A
455071	104	1782808353	Battle Hatchet (Arcana) A	战斗手斧 (至宝) A
455072	104	1782808353	Battle Hatchet (Arcana) A	战斗手斧 (至宝) A
444041	102	1782808353	Barbed Bolt (Immortal) A	倒刺弩箭 (不朽) A
